"'Table 2-Shepherdia,","'buffaloberry: germination treatment","'conditions and results","'",
"'Species","'Pretreatment","'Germination treatment","'Percent germination",
"'S. argentea","'Moist chill (3 °C for 90 days)","'20-30 °C (18 days)","'93",
"'","'Acid soak (20-30 min)","'20-30 °C (21 days)","'71-86",
"'","'None","'Moist chill (3 °C for 170 days)","'94",
"'S. canadensis","'Acid soak (15 min)","'Moist chill (3 °C for 30 days)","'89",
"'","'Acid soak (20-30 min)","'20-30 °C (21 days)","'80",
"'","'None","'Moist chill (3 °C for 170 days)","'80",
"'S. rotundifolia","'Acid soak (15-30 min)","'20-30 °C","'80-90",
"'","'Moist chill (3 °C for 30-60 days)","'20-30 °C","'80-90",
"'","'None","'Moist chill (3 °C for 170 days)","'86",
,,,

'Confidence Scores % (Table Cell)
"'92.08984375","'92.08984375","'92.08984375","'92.08984375",
"'90.33203125","'93.26171875","'92.72460938","'93.21289063",
"'75.19531250","'79.93164063","'79.44335938","'79.88281250",
"'75.19531250","'78.80859375","'78.36914063","'78.80859375",
"'75.19531250","'84.17968750","'83.69140625","'84.13085938",
"'84.96093750","'72.02148438","'71.58203125","'71.97265625",
"'84.96093750","'79.73632813","'79.24804688","'79.68750000",
"'84.96093750","'80.07812500","'79.58984375","'80.02929688",
"'76.46484375","'81.39648438","'80.90820313","'81.34765625",
"'76.46484375","'68.16406250","'67.77343750","'68.11523438",
"'76.46484375","'79.63867188","'79.15039063","'79.58984375",
