"'Table 2-Aronia,","'chokeberry: phenology of flowering","'and fruiting","'",
"'Species","'Location","'Flowering","'Fruit ripening",
"'A. arbutifolia","'Texas","'Mar-Apr","'Oct-Nov",
"'","'West Virginia","'Mar-May","'Sept-Oct",
"'","'North","'Apr-July","'Sept-Nov",
"'A. melanocarpa","'South","'Mar-June","'Aug",
"'","'North","'Apr-July","'Aug-Oct",
"'","'West Virginia","'June","'Sept-Oct",
"'A. X prunifolia","'","'Apr-July","'Aug-Oct",
,,,

'Confidence Scores % (Table Cell)
""'86.23046875","'86.23046875","'86.23046875","'86.23046875",
"'89.25781250","'91.55273438","'91.50390625","'93.70117188",
"'54.68750000","'85.74218750","'85.69335938","'87.74414063",
"'54.68750000","'81.98242188","'81.93359375","'83.88671875",
"'54.68750000","'83.78906250","'83.74023438","'85.74218750",
"'56.68945313","'85.54687500","'85.49804688","'87.54882813",
"'56.68945313","'83.34960938","'83.30078125","'85.35156250",
"'56.68945313","'80.81054688","'80.76171875","'82.71484375",
"'88.08593750","'90.33203125","'90.28320313","'92.48046875",
