Species,Location,Flowering,Fruit ripening,Seed dispersal,pdf_table_number,genus_name
A. glutinosa,E US,Mar-May,Sept,Sept or Oct-early spring,2,Alnus
,S US & England,(can start Jan),Feb-April,,2,Alnus
A. incana,Europe,Mar-May,Sept-Nov,Sept-Dec,2,Alnus
ssp. rugosa,"Canada, US",Mar-May,,,2,Alnus
ssp. tenuifolia,"Idaho, Montana, Oregon",Mar-Apr,Aug-Sept,,2,Alnus
A. nepalensis,Hawaii,,Oct-Feb,Oct-Apr,2,Alnus
A. rhombifolia,Oregon,Mar,Late Sept-early Oct,,2,Alnus
A. rubra,"Washington, Oregon",Late winter-,Aug-Oct,Sept-Dec,2,Alnus
,,early spring,,,2,Alnus
A. serrulata,,Feb-May,Late Sept-early Oct,,2,Alnus
A. viridis ssp. crispa,"E US, Alaska",Spring,Late Aug-mid-Oct,Soon after ripening,2,Alnus
,,Apr-June,Mid Sept-early Oct,Sept-early spring,2,Alnus
ssp. sinuata,"Alaska, W Canada, & NW US",Apr-June,Sept-Dec,,2,Alnus
