Species,Mature tree height (m),Year first cultivated,Age at onset seed bearing,Years between cone crops,pdf_table_number,genus_name
P. resinosa,21-46,1756,20-25,3-7,NA,NA
P. rigida,6-30,"1759, earlier",3-4,4-9,NA,NA
P. roxburghii,46-55,1807,15-40,2-4,NA,NA
P. sabiniana,12-24,1832,10-25,2-4,NA,NA
P. serotina,12-24,1713,4-10,I,NA,NA
P. sibirica,40,1837,25-35,3-8,NA,NA
P. strobiformis,8-38,1840,15,3-4,NA,NA
P. strobus,24-67,1705,5-10,3-10,NA,NA
P. sylvestris,24-40,Long history,5-15,4-6,NA,NA
P. taeda,27-34,1713,5-10,3-13,NA,NA
P. thunbergiana,30-40,1855,6-40,,NA,NA
P. torreyana,8-18,1853,12-18,I,NA,NA
P. virginiana,15-30,1739,5,I,NA,NA
P. wallichiana,15-46,1827,15-20,I-2,NA,NA
P. washoensis,18-46,,15-20,2-5,NA,NA
